China Taj Logist авиа,,
Треккод,Дата прибытия в Душанбе,Путь
JT5209129296979,11.08.2023,Авиа1
78710038111216,11.08.2023,Авиа1
JT5209659085094,11.08.2023,Авиа1
YT8920699900632,11.08.2023,Авиа1
JT5210417398718,11.08.2023,Авиа1
9855128718205,11.08.2023,Авиа1
JT5210251271715,11.08.2023,Авиа1
777158126404045,11.08.2023,Авиа1
777157935420482,11.08.2023,Авиа1
JT5209498744612,11.08.2023,Авиа1
777157893441577,11.08.2023,Авиа1
78358286508007,11.08.2023,Авиа1
644014,11.08.2023,Авиа1
78357971482989,11.08.2023,Авиа1
78357836212546,11.08.2023,Авиа1
777157295244426,11.08.2023,Авиа1
463042835772879,11.08.2023,Авиа1
777157295243305,11.08.2023,Авиа1
YT8919307590798,11.08.2023,Авиа1
463048371920394,11.08.2023,Авиа1
JT5210647688260,11.08.2023,Авиа1
463048371890249,11.08.2023,Авиа1
78710187749493,11.08.2023,Авиа1
463050575064158,11.08.2023,Авиа1
78358496093577,11.08.2023,Авиа1
777157727267880,11.08.2023,Авиа1
777157643329819,11.08.2023,Авиа1
JT5210174598192,11.08.2023,Авиа1
463049151002809,11.08.2023,Авиа1
463041757434161,11.08.2023,Авиа1
463041550073939,11.08.2023,Авиа1
JT5209721813363,11.08.2023,Авиа1
777157617288570,11.08.2023,Авиа1
78358591568135,11.08.2023,Авиа1
78358726501071,11.08.2023,Авиа1
78359240028009,11.08.2023,Авиа1
78358656725401,11.08.2023,Авиа1
777157775014429,11.08.2023,Авиа1
78358559472024,11.08.2023,Авиа1
YT8920028917041,11.08.2023,Авиа1
78358513706198,11.08.2023,Авиа1
777157642333834,11.08.2023,Авиа1
78358653661500,11.08.2023,Авиа1
9855125647183,11.08.2023,Авиа1
777158120351862,11.08.2023,Авиа1
777158051605531,11.08.2023,Авиа1
463042861566186,11.08.2023,Авиа1
9855135343464,11.08.2023,Авиа1
777158305880107,11.08.2023,Авиа1
YT8920691293503,11.08.2023,Авиа1
JT5210214409409,11.08.2023,Авиа1
78358608019900,11.08.2023,Авиа1
78358494524663,11.08.2023,Авиа1
78359232763408,11.08.2023,Авиа1
YT8920720754803,11.08.2023,Авиа1
YT8919919425989,11.08.2023,Авиа1
78358425720930,11.08.2023,Авиа1
JT5210111087916,11.08.2023,Авиа1
463042054213523,11.08.2023,Авиа1
JT5208988163485,11.08.2023,Авиа1
78357786464744,11.08.2023,Авиа1
78357855919902,11.08.2023,Авиа1
777157333345540,11.08.2023,Авиа1
78358811211600,11.08.2023,Авиа1
YT8920537170148,11.08.2023,Авиа1
9855119463867,11.08.2023,Авиа1
78358344711933,11.08.2023,Авиа1
777157922447879,11.08.2023,Авиа1
78358002058868,11.08.2023,Авиа1
YT7406991597794,11.08.2023,Авиа1
777158177956235,11.08.2023,Авиа1
777157785673348,11.08.2023,Авиа1
JT5209492770214,11.08.2023,Авиа1
433370541735252,11.08.2023,Авиа1
78358252577441,11.08.2023,Авиа1
78358510062557,11.08.2023,Авиа1
463049548846534,14.08.2023,Авиа1
78710924158930,14.08.2023,Авиа1
78358110274385,14.08.2023,Авиа1
JT5209688595550,14.08.2023,Авиа1
773235904798485,14.08.2023,Авиа1
JT3040939849745,14.08.2023,Авиа1
JT5209702619319,14.08.2023,Авиа1
78358626784935,14.08.2023,Авиа1
JT3041156687144,14.08.2023,Авиа1
9855100895348,14.08.2023,Авиа1
JT5209609288052,14.08.2023,Авиа1
9855107287224,14.08.2023,Авиа1
78358316761347,14.08.2023,Авиа1
JT5209817382564,14.08.2023,Авиа1
777158282072694,14.08.2023,Авиа1
SF1514866738357,14.08.2023,Авиа1
YT8919988883929,14.08.2023,Авиа1
463040478413010,14.08.2023,Авиа1
YT8919913468937,14.08.2023,Авиа1
9871890247526,14.08.2023,Авиа1
9871890302456,14.08.2023,Авиа1
78358853512719,14.08.2023,Авиа1
9871914355444,14.08.2023,Авиа1
JT5210259910261,14.08.2023,Авиа1
,14.08.2023,Авиа1
78358308516273,14.08.2023,Авиа1
JT5209586770476,14.08.2023,Авиа1
YT8920398688770,15.08.2023,Авиа1
YT8920589588151,15.08.2023,Авиа1
JT5211039792655,15.08.2023,Авиа1
463034355092032,15.08.2023,Авиа1
78711116813966,15.08.2023,Авиа1
78359310199333,15.08.2023,Авиа1
78359020301259,15.08.2023,Авиа1
78359054113145,15.08.2023,Авиа1
34202,15.08.2023,Авиа1
463054226802228,15.08.2023,Авиа1
1293155668564,15.08.2023,Авиа1
777158797304300,15.08.2023,Авиа1
78711594868842,15.08.2023,Авиа1
YT7406986402889,15.08.2023,Авиа1
78359410302180,15.08.2023,Авиа1
78359496914788,15.08.2023,Авиа1
YT8920431789457,15.08.2023,Авиа1
78359236502337,15.08.2023,Авиа1
YT8920413596000,15.08.2023,Авиа1
777158846713313,15.08.2023,Авиа1
598047,15.08.2023,Авиа1
78359155825795,15.08.2023,Авиа1
JT5210897098467,15.08.2023,Авиа1
YT8920387570181,15.08.2023,Авиа1
YT8919031880576,15.08.2023,Авиа1
463035107989582,15.08.2023,Авиа1
78357027141707,15.08.2023,Авиа1
78357060599146,15.08.2023,Авиа1
JT5210946596993,15.08.2023,Авиа1
78359243529334,15.08.2023,Авиа1
JT5211013334931,15.08.2023,Авиа1
9855153176119,15.08.2023,Авиа1
JT5211312774220,15.08.2023,Авиа1
1296984152664,15.08.2023,Авиа1
463054950279311,15.08.2023,Авиа1
463055135995075,15.08.2023,Авиа1
YT8920599420830,15.08.2023,Авиа1
773236630629585,15.08.2023,Авиа1
777157110502266,15.08.2023,Авиа1
YT8920370225135,15.08.2023,Авиа1
JT3041351029827,15.08.2023,Авиа1
YT2502213948447,15.08.2023,Авиа1
463055632245978,15.08.2023,Авиа1
78357285956791,15.08.2023,Авиа1
YT8920392802150,15.08.2023,Авиа1
78359308365939,15.08.2023,Авиа1
433375616844432,15.08.2023,Авиа1
JT5210515197330,15.08.2023,Авиа1
YT8920350073534,15.08.2023,Авиа1
9855005544096,15.08.2023,Авиа1
78359423466110,15.08.2023,Авиа1
78709419600198,15.08.2023,Авиа1
777158427682340,15.08.2023,Авиа1
463056661889363,15.08.2023,Авиа1
ОЕ5211152773841,17.08.2023,Авиа1
петли,16.08.2023,Авиа1
78359320708710,17.08.2023,Авиа1
463057939860012,17.08.2023,Авиа1
463057939853040,17.08.2023,Авиа1
73506270829366,17.08.2023,Авиа1
777158985613062,17.08.2023,Авиа1
78359311194065,17.08.2023,Авиа1
463051078933172,17.08.2023,Авиа1
463051554466281,17.08.2023,Авиа1
463056656208023,17.08.2023,Авиа1
9855199036685,17.08.2023,Авиа1
НЕ8920337664746,17.08.2023,Авиа1
YT8920229464678,17.08.2023,Авиа1
YT8921461376699,17.08.2023,Авиа1
78712067508010,17.08.2023,Авиа1
YT8920500974612,17.08.2023,Авиа1
JT5210463131685,17.08.2023,Авиа1
78358955744784,17.08.2023,Авиа1
78359832737474,17.08.2023,Авиа1
YT8920390761725,17.08.2023,Авиа1
JT5210888621948,17.08.2023,Авиа1
237165432528,17.08.2023,Авиа1
78711460040884,17.08.2023,Авиа1
463053206092575,18.08.2023,Авиа1
YT8921165528545,17.08.2023,Авиа1
JT5211010690156,17.08.2023,Авиа1
1298296906264,17.08.2023,Авиа1
78359577371705,17.08.2023,Авиа1
777159023793875,17.08.2023,Авиа1
463058365942047,17.08.2023,Авиа1
JT5211196896828,17.08.2023,Авиа1
YT8920294204421,17.08.2023,Авиа1
JT5211289141093,17.08.2023,Авиа1
JT5211597679855,17.08.2023,Авиа1
78360077884052,17.08.2023,Авиа1
JT5211200816742,17.08.2023,Авиа1
9871949024782,17.08.2023,Авиа1
JT5211811334499,17.08.2023,Авиа1
777158847930407,17.08.2023,Авиа1
YT8921191733218,17.08.2023,Авиа1
777159187817310,17.08.2023,Авиа1
НЕ8920337138890,17.08.2023,Авиа1
9855158527928,17.08.2023,Авиа1
78358959534169,17.08.2023,Авиа1
463054537064497,17.08.2023,Авиа1
777157947851045,17.08.2023,Авиа1
777157719279197,17.08.2023,Авиа1
777158856700015,17.08.2023,Авиа1
JT5211346942732,17.08.2023,Авиа1
JT5211189757998,17.08.2023,Авиа1
777158675126278,17.08.2023,Авиа1
777159506812775,22.08.2023,Авиа1
ОЕ5211880999350,18.08.2023,Авиа1
777159663221775,18.08.2023,Авиа1
78359918331570,18.08.2023,Авиа1
777159093555377,18.08.2023,Авиа1
YT8921070997599,18.08.2023,Авиа1
777159699049256,18.08.2023,Авиа1
777159092357270,18.08.2023,Авиа1
78359918280168,18.08.2023,Авиа1
463062888004172,18.08.2023,Авиа1
78360253516696,18.08.2023,Авиа1
YT8921247306810,18.08.2023,Авиа1
78359776388522,18.08.2023,Авиа1
JT5211804477827,18.08.2023,Авиа1
78359994049218,18.08.2023,Авиа1
JT5212020863895,18.08.2023,Авиа1
78359947735819,18.08.2023,Авиа1
777158936740175,18.08.2023,Авиа1
JT5211729093441,18.08.2023,Авиа1
YT8921141266449,18.08.2023,Авиа1
78359526887559,18.08.2023,Авиа1
JT5211935936958,18.08.2023,Авиа1
777159618933115,18.08.2023,Авиа1
78360266985680,18.08.2023,Авиа1
YT8921023312574,18.08.2023,Авиа1
463063145695545,18.08.2023,Авиа1
777159112166169,18.08.2023,Авиа1
78359762889071,18.08.2023,Авиа1
463057493717731,18.08.2023,Авиа1
YT8921123134027,18.08.2023,Авиа1
78359640212443,18.08.2023,Авиа1
9855169680365,18.08.2023,Авиа1
463063586189316,18.08.2023,Авиа1
9871973823127,18.08.2023,Авиа1
463051263062012,18.08.2023,Авиа1
JT5211728283451,18.08.2023,Авиа1
78360129837132,18.08.2023,Авиа1
78359790261440,18.08.2023,Авиа1
78359949134943,18.08.2023,Авиа1
JT5211616741135,18.08.2023,Авиа1
JT5211806541912,18.08.2023,Авиа1
78359991741235,18.08.2023,Авиа1
JT5211705625234,18.08.2023,Авиа1
YT8921011275977,18.08.2023,Авиа1
JT5211472993279,18.08.2023,Авиа1
JT5211640194073,18.08.2023,Авиа1
78360258269882,18.08.2023,Авиа1
78359781169966,18.08.2023,Авиа1
777159154120945,18.08.2023,Авиа1
777159180520496,18.08.2023,Авиа1
JT5212035877508,18.08.2023,Авиа1
463062486221044,18.08.2023,Авиа1
78360233790166,18.08.2023,Авиа1
78713083850257,18.08.2023,Авиа1
463063561911637,18.08.2023,Авиа1
78359751151401,18.08.2023,Авиа1
78359360871520,18.08.2023,Авиа1
YT8920540841466,18.08.2023,Авиа1
JT5211811927794,18.08.2023,Авиа1
JT5210905376790,18.08.2023,Авиа1
YT8921269135267,18.08.2023,Авиа1
777158912458416,18.08.2023,Авиа1
JT5211371455037,18.08.2023,Авиа1
78360086120412,18.08.2023,Авиа1
JT5211888809474,18.08.2023,Авиа1
JT5211647602134,18.08.2023,Авиа1
YT7407828570036,18.08.2023,Авиа1
433383537304546,18.08.2023,Авиа1
JT5211458134863,18.08.2023,Авиа1
463058869144854,18.08.2023,Авиа1
JT3040830903508,18.08.2023,Авиа1
YT8921868304679,22.08.2023,Авиа1
78359589234511,18.08.2023,Авиа1
78359868616799,18.08.2023,Авиа1
78358788901305,18.08.2023,Авиа1
78711847074270,18.08.2023,Авиа1
773238675027217,,Авиа1
JT5212427786742,22.08.2023,Авиа1
777159999985446,22.08.2023,Авиа1
78360311033381,22.08.2023,Авиа1
777159694062249,22.08.2023,Авиа1
YT8921070456320,22.08.2023,Авиа1
463067347892130,22.08.2023,Авиа1
78714260592627,22.08.2023,Авиа1
JT5212026760778,22.08.2023,Авиа1
777160006827506,22.08.2023,Авиа1
463066116301748,22.08.2023,Авиа1
433385272661074,22.08.2023,Авиа1
78360295257296,24.08.2023,Авиа1
ОЕ5212050347210,24.08.2023,Авиа1
9855251969767,24.08.2023,Авиа1
НЕ8921880537176,24.08.2023,Авиа1
463065427795733,24.08.2023,Авиа1
78360618024880,24.08.2023,Авиа1
JT5212831993395,24.08.2023,Авиа1
463069359328828,24.08.2023,Авиа1
777160256051308,24.08.2023,Авиа1
777160784336844,24.08.2023,Авиа1
777160073637370,24.08.2023,Авиа1
JT5213059787465,24.08.2023,Авиа1
777160838925275,24.08.2023,Авиа1
JT5212477167259,24.08.2023,Авиа1
JT5212700648100,24.08.2023,Авиа1
JT5212606737744,24.08.2023,Авиа1
78713968855652,24.08.2023,Авиа1
YT7408675647724,24.08.2023,Авиа1
JT5212521117377,24.08.2023,Авиа1
78360386643759,24.08.2023,Авиа1
JT5211615692139,24.08.2023,Авиа1
JT5211807450287,24.08.2023,Авиа1
78361285483506,24.08.2023,Авиа1
777160021799040,24.08.2023,Авиа1
78360991823190,24.08.2023,Авиа1
78360388292146,24.08.2023,Авиа1
JT5213052397059,24.08.2023,Авиа1
78360885276390,24.08.2023,Авиа1
JT5212237332505,24.08.2023,Авиа1
777160146686740,24.08.2023,Авиа1
JT5212541926216,24.08.2023,Авиа1
JT5212248551862,24.08.2023,Авиа1
463069567654611,24.08.2023,Авиа1
JT5213201319255,24.08.2023,Авиа1
JT5212913960515,24.08.2023,Авиа1
JT5213116799438,24.08.2023,Авиа1
JT5212914872436,24.08.2023,Авиа1
YT8921552187342,24.08.2023,Авиа1
JT5212397059376,24.08.2023,Авиа1
78360525500193,24.08.2023,Авиа1
YT8921543386099,24.08.2023,Авиа1
YT8921547007820,24.08.2023,Авиа1
463069949490689,24.08.2023,Авиа1
78360530179665,24.08.2023,Авиа1
463066986304996,24.08.2023,Авиа1
YT7409229880880,24.08.2023,Авиа1
JT5212025629883,24.08.2023,Авиа1
78360219185568,24.08.2023,Авиа1
JT5213150010359,24.08.2023,Авиа1
463066162129470,24.08.2023,Авиа1
JT5213063810536,24.08.2023,Авиа1
777160305870190,24.08.2023,Авиа1
JT5213399038147,24.08.2023,Авиа1
78360692164434,24.08.2023,Авиа1
78360755147262,24.08.2023,Авиа1
777160296898053,24.08.2023,Авиа1
463066604705976,24.08.2023,Авиа1
777160103943390,24.08.2023,Авиа1
78360665615452,24.08.2023,Авиа1
78360561334143,24.08.2023,Авиа1
78360313996567,24.08.2023,Авиа1
78360345324868,24.08.2023,Авиа1
78359947558566,24.08.2023,Авиа1
JT5211796841952,24.08.2023,Авиа1
JT5211796887956,24.08.2023,Авиа1
JT5212915430808,24.08.2023,Авиа1
777159449435514,24.08.2023,Авиа1
JT5212980654059,24.08.2023,Авиа1
75715746472350,24.08.2023,Авиа1
1282088726925,24.08.2023,Авиа1
78360430831897,24.08.2023,Авиа1
777160823743725,24.08.2023,Авиа1
78361164456198,24.08.2023,Авиа1
78360531497021,24.08.2023,Авиа1
78361197233974,24.08.2023,Авиа1
78361197386328,24.08.2023,Авиа1
JT5212450391854,24.08.2023,Авиа1
JT5212296882717,24.08.2023,Авиа1
YT8921957531742,24.08.2023,Авиа1
JT5212218449196,24.08.2023,Авиа1
YT8920809455274,24.08.2023,Авиа1
773238135834044,24.08.2023,Авиа1
78360669245601,24.08.2023,Авиа1
78360489829024,24.08.2023,Авиа1
78359873964400,24.08.2023,Авиа1
78360745699746,24.08.2023,Авиа1
JT5212332565439,24.08.2023,Авиа1
78714014804685,24.08.2023,Авиа1
JT5212108713852,24.08.2023,Авиа1
JT5212434519601,24.08.2023,Авиа1
JT5212248604821,24.08.2023,Авиа1
777160854046755,24.08.2023,Авиа1
777159881125710,24.08.2023,Авиа1
JT5212083000831,24.08.2023,Авиа1
JT5211798599192,24.08.2023,Авиа1
YT8922139658574,24.08.2023,Авиа1
78359836118466,24.08.2023,Авиа1
JT5212929767719,24.08.2023,Авиа1
463067426554600,24.08.2023,Авиа1
777160021372315,24.08.2023,Авиа1
JT5212118256945,24.08.2023,Авиа1
777159984288075,24.08.2023,Авиа1
78360341024052,24.08.2023,Авиа1
JT5212199370304,24.08.2023,Авиа1
78360173491516,24.08.2023,Авиа1
JT5212475994890,24.08.2023,Авиа1
78714856032147,24.08.2023,Авиа1
773238143667885,24.08.2023,Авиа1
78360029403900,24.08.2023,Авиа1
78360906622986,24.08.2023,Авиа1
777159084001706,24.08.2023,Авиа1
773238005996582,24.08.2023,Авиа1
JT5212969039940,24.08.2023,Авиа1
777159222141421,24.08.2023,Авиа1
78361155323000,24.08.2023,Авиа1
78361283397017,24.08.2023,Авиа1
JT5213338000815,24.08.2023,Авиа1
JT5212791462031,24.08.2023,Авиа1
463069940966018,24.08.2023,Авиа1
JT5212755909314,24.08.2023,Авиа1
463073903437952,24.08.2023,Авиа1
78361286455043,24.08.2023,Авиа1
78360610674591,24.08.2023,Авиа1
78359589501850,24.08.2023,Авиа1
JT5212041342348,24.08.2023,Авиа1
78360711671998,24.08.2023,Авиа1
78714320450141,24.08.2023,Авиа1
433390100877200,24.08.2023,Авиа1
78360576701328,24.08.2023,Авиа1
YT8921762853815,24.08.2023,Авиа1
JT5212537297745,24.08.2023,Авиа1
YT8921901374023,24.08.2023,Авиа1
78360251836747,24.08.2023,Авиа1
78361154959749,24.08.2023,Авиа1
433380450182184,24.08.2023,Авиа1
78715372405352,24.08.2023,Авиа1
78715369261698,24.08.2023,Авиа1
ОЕ5213877464724,25.08.2023,Авиа1
1280898483225,24.08.2023,Авиа1
777160002736238,24.08.2023,Авиа1
78360534515016,24.08.2023,Авиа1
78360552261800,24.08.2023,Авиа1
78361136352381,24.08.2023,Авиа1
SF1614877562183,24.08.2023,Авиа1
JT5213301067701,24.08.2023,Авиа1
JT5212439797360,24.08.2023,Авиа1
777159889980495,24.08.2023,Авиа1
777160958520053,24.08.2023,Авиа1
78359911023184,24.08.2023,Авиа1
9872012331780,24.08.2023,Авиа1
JT5213312159903,24.08.2023,Авиа1
78360149133886,24.08.2023,Авиа1
ЫА1520307715305,25.08.2023,Авиа1
ЫА1520307715323,25.08.2023,Авиа1
ЫА1520307715314,25.08.2023,Авиа1
78714234707883,25.08.2023,Авиа1
78361051868705,25.08.2023,Авиа1
78360754991026,25.08.2023,Авиа1
9855239159636,25.08.2023,Авиа1
9855252306535,25.08.2023,Авиа1
777160954972526,25.08.2023,Авиа1
НЕ7408821519309,25.08.2023,Авиа1
78713955875891,25.08.2023,Авиа1
463073625756561,25.08.2023,Авиа1
777160391837335,25.08.2023,Авиа1
78715018723464,25.08.2023,Авиа1
1276775333825,25.08.2023,Авиа1
78360763681249,25.08.2023,Авиа1
YT7408972434571,25.08.2023,Авиа1
JT5212783758869,25.08.2023,Авиа1
777161010027970,25.08.2023,Авиа1
777161014573225,25.08.2023,Авиа1
463073493152904,25.08.2023,Авиа1
JT5213118669067,25.08.2023,Авиа1
78361214147146,25.08.2023,Авиа1
777159969059378,25.08.2023,Авиа1
777159966319491,25.08.2023,Авиа1
78360863679925,25.08.2023,Авиа1
777160453860733,25.08.2023,Авиа1
ОЕ5212787357655,25.08.2023,Авиа1
9855245847785,25.08.2023,Авиа1
78361290116331,25.08.2023,Авиа1
1276875139525,25.08.2023,Авиа1
9855297249826,25.08.2023,Авиа1
433390175446153,25.08.2023,Авиа1
JT5212702036924,25.08.2023,Авиа1
SF1514331748716,25.08.2023,Авиа1
78360885735576,25.08.2023,Авиа1
YT7408674983614,25.08.2023,Авиа1
JT5212720666446,25.08.2023,Авиа1
777159809286934,25.08.2023,Авиа1
78715371732788,25.08.2023,Авиа1
463075682925594,25.08.2023,Авиа1
1276771829625,25.08.2023,Авиа1
YT8921483574204,25.08.2023,Авиа1
777160092791025,25.08.2023,Авиа1
JT5211741871614,25.08.2023,Авиа1
,25.08.2023,Авиа1
НЕ8920224152844,26.08.2023,Авиа1
78359589234511,26.08.2023,Авиа1
JT5211148838938,28.08.2023,Авиа1
78359505466431,28.08.2023,Авиа1
777158943533631,28.08.2023,Авиа1
YT8920768583045,28.08.2023,Авиа1
777157894566845,28.08.2023,Авиа1
9855137663839,28.08.2023,Авиа1
78358781587086,28.08.2023,Авиа1
9855150048473,28.08.2023,Авиа1
78358799005263,28.08.2023,Авиа1
78360216741982,28.08.2023,Авиа1
SF1420435591830,28.08.2023,Авиа1
78360101811546,28.08.2023,Авиа1
777159457445298,28.08.2023,Авиа1
YT8920846716136,28.08.2023,Авиа1
SF1376732052169,28.08.2023,Авиа1
463062273831522,28.08.2023,Авиа1
463056528217071,28.08.2023,Авиа1
YT8920290186903,28.08.2023,Авиа1
JT5211048830220,28.08.2023,Авиа1
YT8920364285239,28.08.2023,Авиа1
YT8920835483737,28.08.2023,Авиа1
JT5211397341611,28.08.2023,Авиа1
463056142926343,28.08.2023,Авиа1
JT5211560500145,28.08.2023,Авиа1
SF1687874583792,28.08.2023,Авиа1
JT3042063448556,28.08.2023,Авиа1
78359939873819,28.08.2023,Авиа1
78713459511218,28.08.2023,Авиа1
78359642640339,28.08.2023,Авиа1
JT5211537465564,28.08.2023,Авиа1
JT5212292617476,28.08.2023,Авиа1
JT5212295987175,28.08.2023,Авиа1
78360018913206,28.08.2023,Авиа1
78358947979346,28.08.2023,Авиа1
777158511745246,28.08.2023,Авиа1
JT5212033075737,28.08.2023,Авиа1
78359458764317,28.08.2023,Авиа1
B134315227214,28.08.2023,Авиа1
JT5211224165541,28.08.2023,Авиа1
777159379380200,28.08.2023,Авиа1
78359763727788,28.08.2023,Авиа1
78359458761446,28.08.2023,Авиа1
JT5211365155663,28.08.2023,Авиа1
JT5211763062375,28.08.2023,Авиа1
78713191984216,28.08.2023,Авиа1
777159322340437,28.08.2023,Авиа1
SF1510114960662,28.08.2023,Авиа1
78711190290852,28.08.2023,Авиа1
